"인천","송림","2020-07-20 01:00","0.003","0.4","0.014","0.009","23.0","8.0"
"인천","구월동","2020-07-20 01:00","0.002","0.4","0.015","0.006","16.0","5.0"
"인천","숭의","2020-07-20 01:00","0.002","0.3","0.013","0.009","-1.0","-1.0"
"인천","석바위","2020-07-20 01:00","0.002","0.3","0.014","0.01","21.0","9.0"
"인천","부평역","2020-07-20 01:00","0.004","0.3","0.005","0.009","35.0","19.0"
"인천","남동","2020-07-20 01:00","0.002","0.4","0.018","0.005","16.0","6.0"
"인천","부평","2020-07-20 01:00","0.003","0.3","0.013","0.009","38.0","11.0"
"인천","연희","2020-07-20 01:00","0.002","0.3","0.016","0.008","18.0","6.0"
"인천","검단","2020-07-20 01:00","0.002","0.3","0.014","0.007","21.0","13.0"
"인천","계산","2020-07-20 01:00","0.002","0.5","0.018","0.009","-1.0","-1.0"
"인천","고잔","2020-07-20 01:00","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"인천","석남","2020-07-20 01:00","0.002","0.3","0.017","0.01","20.0","10.0"
"인천","송해","2020-07-20 01:00","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"인천","동춘","2020-07-20 01:00","0.003","0.3","0.01","0.008","-1.0","-1.0"
"인천","운서","2020-07-20 01:00","0.002","0.3","0.014","0.005","18.0","7.0"
"인천","송현","2020-07-20 01:00","0.002","0.3","0.012","0.008","17.0","10.0"
"인천","논현","2020-07-20 01:00","0.002","0.3","0.011","0.007","19.0","10.0"
"인천","청라","2020-07-20 01:00","0.006","0.3","0.013","0.012","-1.0","-1.0"
"인천","송도","2020-07-20 01:00","0.002","0.3","0.018","0.007","17.0","11.0"
"인천","원당","2020-07-20 01:00","0.003","0.3","0.015","0.007","19.0","9.0"
"인천","길상","2020-07-20 01:00","0.004","0.3","0.024","0.004","17.0","9.0"
"인천","삼산","2020-07-20 01:00","0.002","0.3","0.015","0.008","17.0","13.0"
"인천","석모리","2020-07-20 01:00","0.001","0.6","0.024","0.002","19.0","9.0"
"인천","덕적도","2020-07-20 01:00","0.001","0.3","0.025","0.001","9.0","-1.0"
"인천","백령도","2020-07-20 01:00","0.003","0.3","0.042","0.001","-1.0","5.0"
